,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600009.SH,20210527,49.27,49.59,49.12,49.45,49.26,0.19000000000000486,0.3857,84175.88,415242.249
1,600009.SH,20210526,49.58,49.64,48.8,49.26,49.33,-0.07000000000000027,-0.1419,104997.11,515728.343
2,600009.SH,20210525,47.86,50.23,47.83,49.33,47.82,1.509999999999998,3.1577,222945.2,1100610.815
3,600009.SH,20210524,47.16,47.88,46.9,47.82,47.16,0.6600000000000037,1.3995,73278.51,348506.74100000004
4,600009.SH,20210521,47.66,47.95,47.03,47.16,47.63,-0.470000000000006,-0.9868,67948.74,322479.61100000003
5,600009.SH,20210520,47.31,47.89,46.94,47.63,47.41,0.220000000000006,0.46399999999999997,88379.79,419527.672
6,600009.SH,20210519,48.1,48.1,47.28,47.41,48.28,-0.8700000000000045,-1.8019999999999998,81966.65,389594.20700000005
7,600009.SH,20210518,48.0,48.35,47.35,48.28,47.97,0.3100000000000023,0.6462,109484.4,523988.904
8,600009.SH,20210517,46.5,48.43,46.4,47.97,46.35,1.6199999999999974,3.4951,202956.42,968692.556
9,600009.SH,20210514,45.59,46.43,45.58,46.35,45.52,0.8299999999999983,1.8234,122083.45,563959.1479999999
10,600009.SH,20210513,45.31,45.88,45.0,45.52,45.56,-0.03999999999999915,-0.0878,89723.92,407949.08
11,600009.SH,20210512,45.26,45.66,44.83,45.56,45.43,0.13000000000000256,0.2862,107732.37,487175.711
12,600009.SH,20210511,44.16,45.86,44.0,45.43,44.44,0.9900000000000021,2.2277,162278.33,729802.316
13,600009.SH,20210510,45.27,45.5,43.95,44.44,45.27,-0.8300000000000054,-1.8334,207374.83,922981.97
14,600009.SH,20210507,46.21,46.64,45.09,45.27,46.7,-1.4299999999999995,-3.0621,250184.36,1145571.685
15,600009.SH,20210506,48.64,48.64,46.5,46.7,49.14,-2.4399999999999977,-4.9654,317853.9,1496697.188
16,600009.SH,20210430,49.0,49.49,48.58,49.14,49.09,0.049999999999997165,0.1019,120408.64,590370.887
17,600009.SH,20210429,48.99,49.99,48.38,49.09,50.0,-0.9099999999999966,-1.82,184886.66,907438.083
18,600009.SH,20210428,49.28,50.1,48.08,50.0,49.6,0.3999999999999986,0.8065,220809.65,1089211.44
19,600009.SH,20210427,52.91,52.95,48.88,49.6,53.25,-3.649999999999999,-6.8545,542489.53,2731127.0110000004
20,600009.SH,20210426,55.25,55.25,52.63,53.25,56.36,-3.1099999999999994,-5.5181,398783.18,2139849.524
21,600009.SH,20210423,56.17,56.48,55.6,56.36,56.35,0.009999999999998009,0.0177,123921.24,694799.4990000001
22,600009.SH,20210422,57.09,57.33,56.18,56.35,57.09,-0.7400000000000021,-1.2962,147570.05,835189.928
23,600009.SH,20210421,56.2,57.37,56.01,57.09,56.43,0.6600000000000037,1.1696,136665.35,777697.1529999999
24,600009.SH,20210420,56.39,57.05,56.12,56.43,56.81,-0.38000000000000256,-0.6689,123199.47,696881.026
25,600009.SH,20210419,55.99,56.83,55.38,56.81,55.93,0.8800000000000026,1.5734,196857.86,1105573.33
26,600009.SH,20210416,55.95,56.3,55.55,55.93,55.94,-0.009999999999998009,-0.0179,129549.19,723675.535
27,600009.SH,20210415,56.4,56.42,55.79,55.94,56.57,-0.6300000000000026,-1.1137,116150.58,649717.412
28,600009.SH,20210414,56.7,57.09,56.31,56.57,56.95,-0.38000000000000256,-0.6673,132887.08,750746.7159999999
29,600009.SH,20210413,56.39,57.33,56.16,56.95,56.4,0.5500000000000043,0.9752,91335.62,518004.161
30,600009.SH,20210412,57.43,57.58,56.1,56.4,57.42,-1.0200000000000031,-1.7764,118160.5,670418.524
31,600009.SH,20210409,58.11,58.31,57.35,57.42,58.31,-0.8900000000000006,-1.5263,133230.91,769911.069
32,600009.SH,20210408,58.44,58.94,58.1,58.31,59.12,-0.8099999999999952,-1.3701,120395.96,703170.431
33,600009.SH,20210407,58.8,59.15,58.06,59.12,58.88,0.2399999999999949,0.4076,111797.9,655428.486
34,600009.SH,20210406,58.52,59.88,58.52,58.88,58.48,0.4000000000000057,0.684,158792.95,939792.671
35,600009.SH,20210402,58.35,58.55,58.07,58.48,58.3,0.17999999999999972,0.3087,125830.7,733463.4859999999
36,600009.SH,20210401,57.84,58.5,57.74,58.3,57.9,0.3999999999999986,0.6908,98536.83,572970.071
37,600009.SH,20210331,58.92,58.92,57.8,57.9,58.93,-1.0300000000000011,-1.7478,153167.9,889985.527
38,600009.SH,20210330,59.21,59.49,58.55,58.93,59.2,-0.2700000000000031,-0.4561,130074.39,766028.3879999999
39,600009.SH,20210329,58.6,59.7,58.02,59.2,58.75,0.4500000000000029,0.7659999999999999,162948.11,961361.318
40,600009.SH,20210326,57.98,59.04,57.98,58.75,57.93,0.8200000000000003,1.4155,149721.39,877773.6379999999
41,600009.SH,20210325,58.11,58.38,57.6,57.93,58.26,-0.3299999999999983,-0.5664,95973.7,556224.906
42,600009.SH,20210324,58.6,58.83,57.8,58.26,58.85,-0.5900000000000034,-1.0025,111817.66,650840.79
43,600009.SH,20210323,60.27,60.5,58.26,58.85,60.34,-1.490000000000002,-2.4693,172928.07,1022619.5190000001
44,600009.SH,20210322,59.4,60.35,59.06,60.34,59.8,0.5400000000000063,0.903,129426.96,775302.3709999999
45,600009.SH,20210319,60.4,61.08,58.81,59.8,61.2,-1.4000000000000057,-2.2876,209570.69,1252150.945
46,600009.SH,20210318,61.8,62.48,60.39,61.2,61.85,-0.6499999999999986,-1.0509,177452.29,1084607.217
47,600009.SH,20210317,61.51,62.59,61.1,61.85,62.3,-0.4499999999999957,-0.7223,168811.82,1041671.412
