invesment_id,time_id,date_id,target,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139
sh.600009,1,2021-12-29,0.0479,45.69,46.99,45.51,46.49,19435397.0,1.78,1.75,46.0,46.22,45.35,45.69,9145004.0,0.84,-0.65,44.69,46.25,44.68,45.99,19564066.0,1.79,3.19,43.7,44.61,43.63,44.57,9689223.0,0.89,1.6,44.22,44.52,43.55,43.87,7588063.0,0.69,-0.54,44.67,45.2,44.09,44.11,9496265.0,0.87,0.14,43.36,44.21,43.22,44.05,9457746.0,0.86,1.36,43.39,44.08,43.22,43.46,9050415.0,0.83,-0.32,44.31,44.33,43.5,43.6,14249507.0,1.3,-1.58,44.55,44.98,44.15,44.3,11940101.0,1.09,-1.01,45.62,45.7,44.55,44.75,12494309.0,1.14,-1.86,45.4,45.65,45.08,45.6,11298532.0,1.03,-0.61,46.51,46.93,45.76,45.88,15630577.0,1.43,-1.27,46.95,47.03,46.0,46.47,16855658.0,1.54,-1.19,46.98,47.77,46.85,47.03,12338003.0,1.13,0.32,46.37,47.1,46.12,46.88,12630238.0,1.16,1.1,46.3,47.47,46.15,46.37,17144200.0,1.57,1.44,45.98,46.13,45.24,45.71,9412206.0,0.86,-0.67,45.18,46.3,44.64,46.02,15524233.0,1.42,3.14,44.52,45.47,44.0,44.62,14235097.0,1.3,-0.58
sh.600009,2,2021-12-30,0.0252,46.3,47.83,45.92,47.38,18387834.0,1.68,1.91,45.69,46.99,45.51,46.49,19435397.0,1.78,1.75,46.0,46.22,45.35,45.69,9145004.0,0.84,-0.65,44.69,46.25,44.68,45.99,19564066.0,1.79,3.19,43.7,44.61,43.63,44.57,9689223.0,0.89,1.6,44.22,44.52,43.55,43.87,7588063.0,0.69,-0.54,44.67,45.2,44.09,44.11,9496265.0,0.87,0.14,43.36,44.21,43.22,44.05,9457746.0,0.86,1.36,43.39,44.08,43.22,43.46,9050415.0,0.83,-0.32,44.31,44.33,43.5,43.6,14249507.0,1.3,-1.58,44.55,44.98,44.15,44.3,11940101.0,1.09,-1.01,45.62,45.7,44.55,44.75,12494309.0,1.14,-1.86,45.4,45.65,45.08,45.6,11298532.0,1.03,-0.61,46.51,46.93,45.76,45.88,15630577.0,1.43,-1.27,46.95,47.03,46.0,46.47,16855658.0,1.54,-1.19,46.98,47.77,46.85,47.03,12338003.0,1.13,0.32,46.37,47.1,46.12,46.88,12630238.0,1.16,1.1,46.3,47.47,46.15,46.37,17144200.0,1.57,1.44,45.98,46.13,45.24,45.71,9412206.0,0.86,-0.67,45.18,46.3,44.64,46.02,15524233.0,1.42,3.14
sh.600009,3,2021-12-31,0.056,47.64,47.66,46.61,46.69,9786408.0,0.9,-1.46,46.3,47.83,45.92,47.38,18387834.0,1.68,1.91,45.69,46.99,45.51,46.49,19435397.0,1.78,1.75,46.0,46.22,45.35,45.69,9145004.0,0.84,-0.65,44.69,46.25,44.68,45.99,19564066.0,1.79,3.19,43.7,44.61,43.63,44.57,9689223.0,0.89,1.6,44.22,44.52,43.55,43.87,7588063.0,0.69,-0.54,44.67,45.2,44.09,44.11,9496265.0,0.87,0.14,43.36,44.21,43.22,44.05,9457746.0,0.86,1.36,43.39,44.08,43.22,43.46,9050415.0,0.83,-0.32,44.31,44.33,43.5,43.6,14249507.0,1.3,-1.58,44.55,44.98,44.15,44.3,11940101.0,1.09,-1.01,45.62,45.7,44.55,44.75,12494309.0,1.14,-1.86,45.4,45.65,45.08,45.6,11298532.0,1.03,-0.61,46.51,46.93,45.76,45.88,15630577.0,1.43,-1.27,46.95,47.03,46.0,46.47,16855658.0,1.54,-1.19,46.98,47.77,46.85,47.03,12338003.0,1.13,0.32,46.37,47.1,46.12,46.88,12630238.0,1.16,1.1,46.3,47.47,46.15,46.37,17144200.0,1.57,1.44,45.98,46.13,45.24,45.71,9412206.0,0.86,-0.67
sh.600009,4,2022-01-04,0.0311,46.4,48.7,46.3,48.52,20690755.0,1.89,3.92,47.64,47.66,46.61,46.69,9786408.0,0.9,-1.46,46.3,47.83,45.92,47.38,18387834.0,1.68,1.91,45.69,46.99,45.51,46.49,19435397.0,1.78,1.75,46.0,46.22,45.35,45.69,9145004.0,0.84,-0.65,44.69,46.25,44.68,45.99,19564066.0,1.79,3.19,43.7,44.61,43.63,44.57,9689223.0,0.89,1.6,44.22,44.52,43.55,43.87,7588063.0,0.69,-0.54,44.67,45.2,44.09,44.11,9496265.0,0.87,0.14,43.36,44.21,43.22,44.05,9457746.0,0.86,1.36,43.39,44.08,43.22,43.46,9050415.0,0.83,-0.32,44.31,44.33,43.5,43.6,14249507.0,1.3,-1.58,44.55,44.98,44.15,44.3,11940101.0,1.09,-1.01,45.62,45.7,44.55,44.75,12494309.0,1.14,-1.86,45.4,45.65,45.08,45.6,11298532.0,1.03,-0.61,46.51,46.93,45.76,45.88,15630577.0,1.43,-1.27,46.95,47.03,46.0,46.47,16855658.0,1.54,-1.19,46.98,47.77,46.85,47.03,12338003.0,1.13,0.32,46.37,47.1,46.12,46.88,12630238.0,1.16,1.1,46.3,47.47,46.15,46.37,17144200.0,1.57,1.44
sh.600009,5,2022-01-05,0.0163,48.48,50.3,48.32,48.84,25367845.0,2.32,0.66,46.4,48.7,46.3,48.52,20690755.0,1.89,3.92,47.64,47.66,46.61,46.69,9786408.0,0.9,-1.46,46.3,47.83,45.92,47.38,18387834.0,1.68,1.91,45.69,46.99,45.51,46.49,19435397.0,1.78,1.75,46.0,46.22,45.35,45.69,9145004.0,0.84,-0.65,44.69,46.25,44.68,45.99,19564066.0,1.79,3.19,43.7,44.61,43.63,44.57,9689223.0,0.89,1.6,44.22,44.52,43.55,43.87,7588063.0,0.69,-0.54,44.67,45.2,44.09,44.11,9496265.0,0.87,0.14,43.36,44.21,43.22,44.05,9457746.0,0.86,1.36,43.39,44.08,43.22,43.46,9050415.0,0.83,-0.32,44.31,44.33,43.5,43.6,14249507.0,1.3,-1.58,44.55,44.98,44.15,44.3,11940101.0,1.09,-1.01,45.62,45.7,44.55,44.75,12494309.0,1.14,-1.86,45.4,45.65,45.08,45.6,11298532.0,1.03,-0.61,46.51,46.93,45.76,45.88,15630577.0,1.43,-1.27,46.95,47.03,46.0,46.47,16855658.0,1.54,-1.19,46.98,47.77,46.85,47.03,12338003.0,1.13,0.32,46.37,47.1,46.12,46.88,12630238.0,1.16,1.1
sh.600009,6,2022-01-06,0.0202,49.19,49.4,48.0,49.0,15102053.0,1.38,0.33,48.48,50.3,48.32,48.84,25367845.0,2.32,0.66,46.4,48.7,46.3,48.52,20690755.0,1.89,3.92,47.64,47.66,46.61,46.69,9786408.0,0.9,-1.46,46.3,47.83,45.92,47.38,18387834.0,1.68,1.91,45.69,46.99,45.51,46.49,19435397.0,1.78,1.75,46.0,46.22,45.35,45.69,9145004.0,0.84,-0.65,44.69,46.25,44.68,45.99,19564066.0,1.79,3.19,43.7,44.61,43.63,44.57,9689223.0,0.89,1.6,44.22,44.52,43.55,43.87,7588063.0,0.69,-0.54,44.67,45.2,44.09,44.11,9496265.0,0.87,0.14,43.36,44.21,43.22,44.05,9457746.0,0.86,1.36,43.39,44.08,43.22,43.46,9050415.0,0.83,-0.32,44.31,44.33,43.5,43.6,14249507.0,1.3,-1.58,44.55,44.98,44.15,44.3,11940101.0,1.09,-1.01,45.62,45.7,44.55,44.75,12494309.0,1.14,-1.86,45.4,45.65,45.08,45.6,11298532.0,1.03,-0.61,46.51,46.93,45.76,45.88,15630577.0,1.43,-1.27,46.95,47.03,46.0,46.47,16855658.0,1.54,-1.19,46.98,47.77,46.85,47.03,12338003.0,1.13,0.32
sh.600009,7,2022-01-07,0.0275,49.0,50.5,48.61,49.99,22984897.0,2.1,2.02,49.19,49.4,48.0,49.0,15102053.0,1.38,0.33,48.48,50.3,48.32,48.84,25367845.0,2.32,0.66,46.4,48.7,46.3,48.52,20690755.0,1.89,3.92,47.64,47.66,46.61,46.69,9786408.0,0.9,-1.46,46.3,47.83,45.92,47.38,18387834.0,1.68,1.91,45.69,46.99,45.51,46.49,19435397.0,1.78,1.75,46.0,46.22,45.35,45.69,9145004.0,0.84,-0.65,44.69,46.25,44.68,45.99,19564066.0,1.79,3.19,43.7,44.61,43.63,44.57,9689223.0,0.89,1.6,44.22,44.52,43.55,43.87,7588063.0,0.69,-0.54,44.67,45.2,44.09,44.11,9496265.0,0.87,0.14,43.36,44.21,43.22,44.05,9457746.0,0.86,1.36,43.39,44.08,43.22,43.46,9050415.0,0.83,-0.32,44.31,44.33,43.5,43.6,14249507.0,1.3,-1.58,44.55,44.98,44.15,44.3,11940101.0,1.09,-1.01,45.62,45.7,44.55,44.75,12494309.0,1.14,-1.86,45.4,45.65,45.08,45.6,11298532.0,1.03,-0.61,46.51,46.93,45.76,45.88,15630577.0,1.43,-1.27,46.95,47.03,46.0,46.47,16855658.0,1.54,-1.19
sh.600009,8,2022-02-14,-0.0154,57.99,58.8,56.41,57.45,15345755.0,1.4,0.09,57.77,59.08,56.6,57.4,27402218.0,2.51,-0.67,55.41,58.0,55.27,57.79,26782543.0,2.45,3.75,54.66,56.28,53.92,55.7,25733410.0,2.35,2.84,52.52,54.25,52.5,54.16,23800042.0,2.18,3.75,51.3,52.89,50.61,52.2,19848523.0,1.82,3.39,49.36,51.5,49.02,50.49,14195401.0,1.3,1.43,50.1,51.18,49.7,49.78,14785780.0,1.35,-2.05,52.3,52.65,50.46,50.82,17985102.0,1.64,-2.27,52.01,53.58,51.9,52.0,24570422.0,2.25,-0.63,52.75,53.48,52.19,52.33,24352039.0,2.23,-1.06,52.0,55.34,52.0,52.89,42776258.0,3.91,3.6,49.58,51.88,49.42,51.05,19441306.0,1.78,2.78,49.07,49.95,48.64,49.67,10817690.0,0.99,0.61,48.2,49.74,47.83,49.37,14158261.0,1.29,2.22,48.75,49.03,47.79,48.3,12817395.0,1.17,-0.88,49.02,49.76,48.28,48.73,12135246.0,1.11,-1.12,49.73,50.61,49.13,49.28,11107692.0,1.02,-0.92,49.61,50.93,49.26,49.74,9747602.0,0.89,0.26,49.8,50.65,49.46,49.61,13213088.0,1.21,-0.76
sh.600009,9,2022-02-15,0.0208,57.0,57.01,55.13,55.6,19927372.0,1.82,-3.22,57.99,58.8,56.41,57.45,15345755.0,1.4,0.09,57.77,59.08,56.6,57.4,27402218.0,2.51,-0.67,55.41,58.0,55.27,57.79,26782543.0,2.45,3.75,54.66,56.28,53.92,55.7,25733410.0,2.35,2.84,52.52,54.25,52.5,54.16,23800042.0,2.18,3.75,51.3,52.89,50.61,52.2,19848523.0,1.82,3.39,49.36,51.5,49.02,50.49,14195401.0,1.3,1.43,50.1,51.18,49.7,49.78,14785780.0,1.35,-2.05,52.3,52.65,50.46,50.82,17985102.0,1.64,-2.27,52.01,53.58,51.9,52.0,24570422.0,2.25,-0.63,52.75,53.48,52.19,52.33,24352039.0,2.23,-1.06,52.0,55.34,52.0,52.89,42776258.0,3.91,3.6,49.58,51.88,49.42,51.05,19441306.0,1.78,2.78,49.07,49.95,48.64,49.67,10817690.0,0.99,0.61,48.2,49.74,47.83,49.37,14158261.0,1.29,2.22,48.75,49.03,47.79,48.3,12817395.0,1.17,-0.88,49.02,49.76,48.28,48.73,12135246.0,1.11,-1.12,49.73,50.61,49.13,49.28,11107692.0,1.02,-0.92,49.61,50.93,49.26,49.74,9747602.0,0.89,0.26
sh.600009,10,2022-02-16,0.0168,55.72,57.1,55.0,56.12,13427541.0,1.23,0.94,57.0,57.01,55.13,55.6,19927372.0,1.82,-3.22,57.99,58.8,56.41,57.45,15345755.0,1.4,0.09,57.77,59.08,56.6,57.4,27402218.0,2.51,-0.67,55.41,58.0,55.27,57.79,26782543.0,2.45,3.75,54.66,56.28,53.92,55.7,25733410.0,2.35,2.84,52.52,54.25,52.5,54.16,23800042.0,2.18,3.75,51.3,52.89,50.61,52.2,19848523.0,1.82,3.39,49.36,51.5,49.02,50.49,14195401.0,1.3,1.43,50.1,51.18,49.7,49.78,14785780.0,1.35,-2.05,52.3,52.65,50.46,50.82,17985102.0,1.64,-2.27,52.01,53.58,51.9,52.0,24570422.0,2.25,-0.63,52.75,53.48,52.19,52.33,24352039.0,2.23,-1.06,52.0,55.34,52.0,52.89,42776258.0,3.91,3.6,49.58,51.88,49.42,51.05,19441306.0,1.78,2.78,49.07,49.95,48.64,49.67,10817690.0,0.99,0.61,48.2,49.74,47.83,49.37,14158261.0,1.29,2.22,48.75,49.03,47.79,48.3,12817395.0,1.17,-0.88,49.02,49.76,48.28,48.73,12135246.0,1.11,-1.12,49.73,50.61,49.13,49.28,11107692.0,1.02,-0.92
